uid,premise,hypothesis,reason,label,predicted_label,match,predicted_score_0,predicted_score_1,predicted_score_2
4aae63a8-fcf7-406c-a2f3-50c31c5934a9,"Ernest Jones is a British jeweller and watchmaker. Established in 1949, its first store was opened in Oxford Street, London. Ernest Jones specialises in diamonds and watches, stocking brands such as Gucci and Emporio Armani. Ernest Jones is part of the Signet Jewelers group.",The first Ernest Jones store was opened on the continent of Europe.,"The first store was opened in London, which is in Europe. It may have been difficult for the system because continents weren't mentioned.",0,0,,0.953341842,0.247796029,-1.134293199
c577b92c-78fb-4e1d-ae1d-34133609c142,"Old Trafford is a football stadium in Old Trafford, Greater Manchester, England, and the home of Manchester United. With a capacity of 75,643, it is the largest club football stadium in the United Kingdom, the second-largest football stadium, and the eleventh-largest in Europe. It is about 0.5 mi from Old Trafford Cricket Ground and the adjacent tram stop.",There are only 10 larger football stadiums in Europe.,The text says that it is the 11th largest football stadium in Europe.,0,2,,-3.250745773,0.781704545,1.827973008
26936cd9-1a5a-4a2b-9fca-899d61880ca0,"Magnus is a Belgian joint dance project of Tom Barman (from the rock band dEUS) and CJ Bolland. Magnus' debut album, ""The Body Gave You Everything"", was released on March 29, 2004. Two of its tracks, ""Summer's Here"" and ""Jumpneedle"", were released as singles.","""The body gave you everything"" album was not released on March 28, 2003 but on March 29, 2004.","it was released on March 29, 2004. ""not this but that"" type of sentences always confuse the system",0,2,,-1.406734586,-0.778363883,1.731065273
cd977941-273b-4748-a5d2-6c7234a2a302,"Shadowboxer is a 2005 crime thriller film directed by Lee Daniels and starring Academy Award winners Cuba Gooding Jr., Helen Mirren, and Mo'Nique. It opened in limited release in six cities: New York, Los Angeles, Washington, D.C., Baltimore, Philadelphia, and Richmond, Virginia.","Shadowboxer was written and directed by Lee Daniels and was starring Academy Award winners Cuba Gooding Jr., Helen Mirren, and Mo'Nique.",It is not know who wrote the Shadowboxer. The system can get confused if a small detail is added for a person while many correct details are written.,1,0,,2.609301805,0.145739108,-2.923197269
1a9eae8f-27d9-47ba-80b8-7d1402ee524a,"Takaaki Kajita (梶田 隆章 , Kajita Takaaki ) is a Japanese physicist, known for neutrino experiments at the Kamiokande and its successor, Super-Kamiokande. In 2015, he was awarded the Nobel Prize in Physics jointly with Canadian physicist Arthur B. McDonald.","Arthur B. McDonald is a Japanese physicist, known for neutrino experiments at the Kamiokande and its successor, Super-Kamiokande.",Arthur B. McDonald is Canadian in the context.,2,1,,-1.438770294,0.991692722,0.257299066
ba1e9090-4f7c-443a-828d-bf3b52dd11b3,"Michael T. Scuse (born 1954) is an American public official. He was the acting United States Deputy Secretary of Agriculture, and, following the resignation of Tom Vilsack on January 13, 2017, was acting United States Secretary of Agriculture until Donald Trump took office as President. He also served as Under Secretary of Agriculture for Farm and Foreign Agricultural Services since 2012.",The US Secretary of Agriculture is assigned Secret Service for protection purposes.,"The priority of the Secretary's safety is not stated in the facts. While this position allows the individual to retain a seat within a President's cabinet, it is unknown if Secret Service protection is granted for the individual.",1,1,,-1.883565664,2.095667839,-0.418206125
99765fea-c83d-4661-8c37-0af01be9cda3,"Edmond (or Edmund) Halley, FRS (pronounced ; 8 November [O.S. 29 October] 1656 – 25 January 1742 [O.S. 14 January 1741] ) was an English astronomer, geophysicist, mathematician, meteorologist, and physicist who is best known for computing the orbit of Halley's Comet. He was the second Astronomer Royal in Britain, succeeding John Flamsteed.",Edmond Halley was born outside of the United Kingdom. ,"We know Edmond Halley is English, but we are not sure if he was actually born in the United Kingdom or not. ",1,0,,2.053875685,0.079641923,-2.274055958
8a91e1a2-9a32-4fd9-b1b6-bd2ee2287c8f,"Javier Torres (born May 14, 1988 in Artesia, California) is an undefeated Mexican American professional boxer in the Heavyweight division. Torres was the second rated U.S. amateur boxer in the Super Heavyweight division and a member of the Mexican Olympic team.",Javier was born in Mexico,"The paragraph states that Javier was born in the California, US.",2,0,,0.998241544,0.386474788,-1.303122759
963b842e-35da-4ed7-87e1-d1769c0cf327,"Camassia cusickii, common name Cussick's camas, is a species of plant in the Asparagaceae family (subfamily Agavoideae). It is native to parts of North America. It has linear leaves with parallel venation and flowers in parts of three. The flowers are usually ice blue or baby blue in color, although they can be various shades of blue, cream and white.",Crussicks camas can be found all over the world,The statement provides the plants origin but not where it can be found in other parts of the world,1,1,,-2.012254477,1.03407371,0.709026337
b9611662-7cdd-4cb8-acc5-ca15068376d0,"""How Could I Want More"" is the debut single by American actress and singer Jamie Lynn Spears. The song was written by Spears and Rivers Rutherford, and was self-released (under the label name Sweet Jamie Music, Inc.) on November 25, 2013 as the lead single from Spears' debut EP, ""The Journey"".","The title of Spears' debut EP was ""Journeys.""","The EP was called ""The Journey."" I'm really not sure how the system whiffed that one.",2,1,,-0.171504527,0.092564963,0.089934148
2d7d635b-2bb4-43c5-910e-cc96b974abf2,"About to Crack is the fifth studio album by Dutch punk hardcore band Vitamin X. Released through Tankcrimes on September 11, 2012 in the US, Agipunk in Europe and Peculio Discos in Brazil. The album was recorded at Electrical Audio in Chicago by Steve Albini who previously recorded Nirvana, Neurosis, PJ Harvey, High on Fire, Iggy Pop & The Stooges. Art is by John Dyer Baizley.",Vitamin X made four albums before About to Crack.,"If it is their fifth album, then they made four before them. ",0,2,,-0.816870511,-0.052716896,0.728334129
8c49536b-f287-4624-9f8f-af95666af6f1,"Dyllan McGee is a documentary filmmaker and founder of McGee Media. In partnership with Peter Kunhardt, McGee produced ""Gloria: In Her Own Words” (HBO), “Finding Your Roots with Henry Louis Gates, Jr.” (PBS), ""MAKERS: Women Who Make America” and many more. McGee is the Founder and Executive Producer of AOL’s MAKERS.","D McGee is a filmmaker who founded their own company. They made many films, that were broadcast on many US networks. ",The AI cannot know where the films were broadcast. ,0,1,,-0.077173471,1.655925632,-1.511679053
6be7f5b5-406f-47d4-a533-f3bccdf08059,"The family of Macintosh operating systems developed by Apple Inc. includes the graphical user interface-based operating systems it has designed for use with its Macintosh series of personal computers since 1984, as well as the related system software it once created for compatible third-party systems.",Macintosh is a business that owns Apple Inc.,"Macintosh was developed by Apple, it does not own Apple. System probably doesn't understand the difference between businesses and systems.",2,0,,1.880381227,0.898658931,-2.71549201
7709b074-2795-42f6-a327-839469966357,"Oksa is a village in Jędrzejów County, Świętokrzyskie Voivodeship, in south-central Poland. It is the seat of the gmina (administrative district) called Gmina Oksa. It lies approximately 18 km north-west of Jędrzejów and 41 km south-west of the regional capital Kielce. The village has an approximate population of 890.",The population of Oksa is large,"Oksa is a small village with a population of 890, which is not large. The system does not understand relative size. ",2,1,,-1.204839826,2.117158651,-0.960165203
dcc934d8-bff1-4db7-a9a3-60790d726df4,"Elizabeth Jane Watson (December 28, 1921 – February 21, 2016) was an American actress and singer known for her roles in musical theatre, especially Laurey in ""Oklahoma!"", creating the role in the London premiere. She also performed in nightclubs and on television, including as co-host of the game show ""Winner Take All"".",Elizabeth Jane Watson is still alive.,"Elizabeth Jane Watson died on February 21, 2016, so she cannot be alive today.",2,2,,-0.979674041,-0.754606128,1.330365896
696c18e4-b280-46a1-9ffe-e54247229756,"The 2009–10 Tour de Ski was the 4th edition of the Tour de Ski and took place 1–10 January 2010. The race started in Oberhof, Germany, and ended in Val di Fiemme, Italy. The defending champions are Switzerland's Dario Cologna for the men and Finland's Virpi Kuitunen. This year's event was won by Lukáš Bauer of the Czech Republic for the men and Poland's Justyna Kowalczyk for the women.",Dario Cologna won the 3rd edition of the Tour de Ski.,"It said he was a defending champion which means he won the year before, making that the 3rd iteration of the race.",0,0,,0.408588082,-0.167370737,-0.212681666
d9476217-0ba3-4a47-b07c-e155ffceb4e2,"Miroslav Ondříček was born in Prague, Czechoslovakia (now Prague, Czech Republic). He studied filmmaking at the Barrandov Studio Training School and began making movies during the Czech New Wave. His first feature film work was on Miloš Forman's ""Talent Competition"". He continued his long working relationship with Forman in the US on such films as ""Hair"", ""Ragtime"" and ""Amadeus"".",He was not born in the United States,"He was born in the Czech Republic, not the United States",0,0,,2.364810228,-0.870422184,-1.917262673
286a110e-afb3-4fd5-a50c-c2d2c704227a,"The Portland Timbers are an American professional soccer club based in Portland, Oregon. The Timbers compete in Major League Soccer (MLS) as a member club of the league's Western Conference.The Timbers play their home games at Providence Park since 2011 when the team began play as an expansion team in the league.",The Portland Timbers won the MLS Championship in 2008.,This statement is false because the paragraph says the team didnt even begin play until 2011. I think the system has a hard time mapping dates chronologically.,2,1,,-4.197288513,2.242807388,1.210480571
e0fb3297-1df8-427d-ad0e-3097879cd3c3,"Shaun Pye is an English actor, comedian, writer, critic, television producer, editor and journalist, known for co-creating the animated sketch comedy ""Monkey Dust"" with Harry Thompson, and for his role as Greg Lindley-Jones on Ricky Gervais's sitcom ""Extras"".","Shaun Pye was a voice actor for the ""Monkey Dust"", an animated TV show he co-created.","The context didn't specifically mention that Shaun used his voice for any of the rolls on Monkey Dust.  It only mentioned he co-created it.  It's likely and possible, but not confirmed in the context, that he is credited as a voice actor for the show.  ",1,1,,0.575524449,0.916473269,-1.37424171
851a2b22-8704-4b87-8d36-b23e6a39a329,"Ladybug Ladybug is a 1963 American motion picture directed by Academy Award-nominated filmmaker Frank Perry. The film is a commentary on the psychological effects of the Cold War, the title deriving from the classic nursery rhyme. It was the motion picture debut of William Daniels, Estelle Parsons and Jane Connell.","Ladybug Ladybug had debutante actors William Daniels, Estelle Parsons and Jane Connell starring in it.",The statement is correct as the people mentioned did debut in this film. I think the system sturggled due to the complexity of what I wrote.,0,1,,0.113283701,1.546770692,-1.550448537
7f25b2bb-4c41-4587-a0a2-db0d647d0800,"Liar is the third album by Vancouver indie band Fake Shark – Real Zombie!. It was released on February 14, 2013. The album is a bit of direction change for the band, and the first with label, Light Organ Records. Guests include Care Failure of the band Die Mannequin, Jimmy Urine of Mindless Self Indulgence, Steve Bays of Hot Hot Heat, and Henry Rollins.",Fake Shark had an album in 2015,The system didn't get the message,1,2,,-1.258900762,0.221698716,0.817445755
1514c100-cc8b-4076-ae6e-de79bdaa466f,"The murder of Jamiel Shaw II occurred on March 2, 2008, in Arlington Heights, Los Angeles, California. Shaw, a 17-year-old Los Angeles High School football player, was shot by two Hispanic men while returning home from the Beverly Center. Shaw was taken to a hospital, where he later died.",Shaw died at the scene of his murder in 2008.,The statement states that he was taken to hospital where he later died.  He did not die at the scene. I think it was difficult for the system as there was not enough information for it to make an incorrect determination based on keywords.,2,1,,-1.17319262,1.431249261,-0.331309974
ee448f8e-2aa9-44eb-8755-c1865735fcb3,"Dewhurst v. Coulthard, 3 U.S. 409 (1799) , was a United States Supreme Court case that initiated with a civil suit brought by Isaac Coulthard (owner of Coulthard's Brewery) against John Dewhurst which reached the Court by a convoluted process. The Court refused to hear the case: ""T]his court will not take cognizance of any suit, or controversy not brought before them by regular process of law.""",The US Supreme Court is the second highest court in the United States.,"The United States Supreme Court is the highest court in the US, where the appellate court is the second highest.",2,1,,-3.722247124,2.532392025,0.564479828
6beb3ba3-22fb-4e69-a339-add540d71109,"Prof Albert Abraham Michelson (surname pronunciation anglicized as ""Michael-son"") FFRS HFRSE LLD (December 19, 1852 – May 9, 1931) was an American physicist known for his work on measuring the speed of light and especially for the Michelson–Morley experiment. In 1907 he received the Nobel Prize in Physics, becoming the first American to win the Nobel Prize in a science.",Prof Albert Abraham Michelson lived to be over 100 years old. ,My statement is clearly incorrect because he lived from 1852 - 1931.  That is not over 100 years.  ,2,0,,0.666015267,-1.287907243,0.325664818
dee071a6-c8b7-4583-b41f-832cb69b91d3,"Aram is a 2002 French action film. It takes place in France between 1993 and 2001, wherein French-Armenian fighters supply arms to Nagorno-Karabakh and kill a visiting Turkish general. The film was released in 2002 in theatres in France, and made its American debut in 2004 at the Armenian Film Festival in San Francisco.","In 2002, the Armenian Film Festival was held in San Francisco.",We don't know where or if there was even a 2002 Armenian film festival.,1,0,,2.691619635,-0.24005644,-2.709896326
